"site_id","mean_surf_jas_slope","distance","nearest_lake","distance_km"
"nhd_10595596",0.140801796156151,300949.14837128,"Lake Superior",300.94914837128
"nhd_10595598",0.0962753310966125,298533.186591422,"Lake Superior",298.533186591422
"nhd_10595604",0.151022865563601,301746.379422961,"Lake Superior",301.746379422961
"nhd_10595608",0.121844087019101,296723.88507227,"Lake Superior",296.72388507227
"nhd_10595614",0.123180781020456,293223.699610881,"Lake Superior",293.223699610881
"nhd_10595644",0.125816138630332,298690.021663717,"Lake Superior",298.690021663717
"nhd_10595674",0.125810240470487,307878.340725424,"Lake Superior",307.878340725424
"nhd_10595690",0.133682371250624,303345.515598393,"Lake Superior",303.345515598393
"nhd_10595748",0.132722844878849,309715.868628286,"Lake Superior",309.715868628286
"nhd_10595756",0.124595880701701,315339.713344908,"Lake Superior",315.339713344908
"nhd_10596422",0.106656145297459,322072.709992263,"Lake Superior",322.072709992263
"nhd_10596430",0.139337208140237,319585.469914853,"Lake Superior",319.585469914853
"nhd_10596440",0.153143029691938,318001.914112618,"Lake Superior",318.001914112618
"nhd_10596466",0.128863980997209,317961.088876503,"Lake Superior",317.961088876503
"nhd_10596486",0.135216218917553,337417.704756156,"Lake Superior",337.417704756156
"nhd_10596500",0.113686844797069,334137.212287416,"Lake Superior",334.137212287416
"nhd_10596502",0.133923191368982,336517.15270601,"Lake Superior",336.51715270601
"nhd_10596552",0.149023954617691,338376.593001528,"Lake Superior",338.376593001528
"nhd_10597308",0.123292668438348,337470.026340873,"Lake Superior",337.470026340873
"nhd_10597310",0.112804241526181,338648.461991664,"Lake Superior",338.648461991664
"nhd_10597314",0.0999770236201091,345223.255976816,"Lake Superior",345.223255976816
"nhd_10847960",0.323794905564979,58453.2582643422,"Lake Erie",58.4532582643422
"nhd_10848066",0.333202773935197,55971.3522966323,"Lake Erie",55.9713522966323
"nhd_10848220",0.34185094296705,52396.8513522506,"Lake Erie",52.3968513522506
"nhd_10848298",0.30948317263935,50922.1884365985,"Lake Erie",50.9221884365985
"nhd_10848338",0.304368508355222,53415.6872219036,"Lake Erie",53.4156872219036
"nhd_1096982",0.19589255715673,172016.140274044,"Lake Superior",172.016140274044
"nhd_1097222",0.178882258066494,178244.033189981,"Lake Superior",178.244033189981
"nhd_1097288",0.171221489461103,179908.599358673,"Lake Superior",179.908599358673
"nhd_1097324",0.142254770162934,183047.964993068,"Lake Superior",183.047964993068
"nhd_1097384",0.171588910975353,182117.937991097,"Lake Superior",182.117937991097
"nhd_1097480",0.177839492569835,185411.418720619,"Lake Superior",185.411418720619
"nhd_1098318",0.203763953489914,161755.407550739,"Lake Superior",161.755407550739
"nhd_1098396",0.191431472493314,164861.691226181,"Lake Superior",164.861691226181
"nhd_1098448",0.209470932957062,162372.40045805,"Lake Superior",162.37240045805
"nhd_1098568",0.186587618587564,168996.82323758,"Lake Superior",168.99682323758
"nhd_1098602",0.224825507425598,164507.040595391,"Lake Superior",164.507040595391
"nhd_1098608",0.214713090299081,165637.487522288,"Lake Superior",165.637487522288
